,Physiological System,Tissue,Types
0,Metabolic,adipose tissue,"WAT, adipocytes, hMADs-derived"
1,Metabolic,adipose tissue,"BrAT, adipocytes, hMADs-derived"
2,Metabolic,adipose tissue,"WAT, adipocytes, SGBS cells"
3,Metabolic,adipose tissue,"WAT, adipocytes, hASC-derived"
4,Metabolic,kidney,"epithelium, HEK293-T-Rex cells"
5,Metabolic,kidney,"epithelium, HEK293 cells"
6,Metabolic,kidney,"epithelial cells, RPTEC"
7,Metabolic,liver,"epithelium, HepG2 cells"
8,Metabolic,pancreas,"duct, epithelium, CFPAC-1 cells"
9,Metabolic,skeletal muscle,HSMMs
10,Metabolic,thyroid gland,"parafollicular, MTC, TT cells"
11,Blood,erythroid lineage,"erythroblasts, bone marrow"
12,Blood,erythroid lineage,"erythroblasts, bone marrow, HEL 92.1.7 cells"
13,Blood,erythroid lineage,"erythroid cells, bone marrow"
14,Blood,hspcs,"bone marrow, CD34+"
15,Blood,megakaryocyte lineage,"megakaryoblasts, MEG-01 cells"
16,Blood,progenitors,
17,Blood,other,
18,Cardiovascular,blood,
19,Cardiovascular,bone marrow,
20,Cardiovascular,heart,myocytes
21,Cardiovascular,heart,"fibroblasts, HCFs"
22,Cardiovascular,vasculature,"smooth muscle, whole"
23,Cardiovascular,vasculature,"endothelium, HBMECs, 1° cells"
24,Cardiovascular,vasculature,"other, HPAFs, 1° cells"
25,Cardiovascular,vasculature,"other, AoAFCs, 1° cells"
26,Cardiovascular,vasculature,"endothelium, HUVECs, 1° cells"
27,Cardiovascular,other,
28,Female reproductive,mammary gland,"epithelium, T47D cells"
29,Female reproductive,mammary gland,"epithelium, MDA-MB-453 cells"
30,Female reproductive,mammary gland,"epithelium, MDA-MB-231 LM2 cells"
31,Female reproductive,mammary gland,"epithelium, MCF-10A cells"
32,Female reproductive,mammary gland,"epithelium, MDA-MB-231 cells"
33,Female reproductive,mammary gland,"epithelium, MCF-7 cells"
34,Female reproductive,mammary gland,"other, fibroblasts, HMFs"
35,Female reproductive,ovary,
36,Female reproductive,oviduct,
37,Female reproductive,placenta,HVMFs
38,Female reproductive,uterus,"endometrium, epithelium, cervical, HeLa cells"
39,Female reproductive,uterus,"cervix, epithelial, HeLa cells"
40,Female reproductive,uterus,"endometrium, epithelium, ECC-1 cells"
41,Female reproductive,vagina,
42,Female reproductive,other,
43,Gastrointestinal,bile duct,
44,Gastrointestinal,colon,"epithelium, LS180 cells"
45,Gastrointestinal,colon,"epithelium, HCT116 cells"
46,Gastrointestinal,colon,"epithelium, LoVo cells"
47,Gastrointestinal,duodenum,
48,Gastrointestinal,esophagus,
49,Gastrointestinal,lleum,
50,Gastrointestinal,jejunum,
51,Gastrointestinal,rectum,
52,Gastrointestinal,stomach,"epithelium, AGS cells"
53,Gastrointestinal,stomach,"epithelium, KATO III cells"
54,Gastrointestinal,other,
55,Immune,leukocytes,B lymphocytes
56,Immune,leukocytes,T lymphoblasts
57,Immune,leukocytes,macrophages
58,Immune,leukocytes,promyelocytes
59,Immune,leukocytes,lymphocytes
60,Immune,leukocytes,T lymphocytes
61,Immune,leukocytes,lymphoblasts
62,Immune,leukocytes,myeloblasts
63,Immune,lymph node,
64,Immune,spleen,
65,Immune,thymus,
66,Immune,other,
67,Male Reproductive,prostate,"epithelium, DU145 cells"
68,Male Reproductive,prostate,"epithelium, VCaP cells"
69,Male Reproductive,prostate,"epithelium, LNCaP cells"
70,Male Reproductive,prostate,"epithelium, LNCaP-abl cells"
71,Male Reproductive,testis,
72,Male Reproductive,epididymis,
73,Male Reproductive,other,
74,Neurosensory,pns,
75,Neurosensory,cns,"other, glioblastoma cells, U-87 MG cells"
76,Neurosensory,cns,"cerebrum, PFSK-1 cells"
77,Neurosensory,cns,"cerebellum, astrocytes"
78,Neurosensory,cns,"other, neuroblastoma, BE(2)-C cells"
79,Neurosensory,cns,"choroid plexus, HCPEpiCs"
80,Neurosensory,cns,"other, spinal cord, astrocytes"
81,Neurosensory,cns,"other, astrocytes, NHAs"
82,Neurosensory,cns,"other, neuroblastoma cells, SK-N-SH cells"
83,Neurosensory,sensory,"eye, globe, retinoblastoma, WERI-Rb-1 cells"
84,Neurosensory,sensory,"eye, retina, HRPEpiC cells"
85,Respiratory,lung,"other, HCC95 cells"
86,Respiratory,lung,"epithelium, SAECs"
87,Respiratory,lung,"fibroblasts, fetal, Ag04450 cells"
88,Respiratory,lung,"fibroblasts, NHLFs"
89,Respiratory,lung,"other, HPFs"
90,Respiratory,lung,"epithelium, A549 cells"
